#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Sep 09 19:47:35 PDT 2020,0,0,MainClassSuite, , ,BasicMainTest- DerivingMainTest- InferringMainTest- InterpolatingMainTest- SocialDistanceBasicMainProvided- SocialDistanceClassRegistryProvided- SocialDistanceDerivingMainProvided- SocialDistanceInferringMainProvided- SocialDistanceInterpolatingMainProvided- ,CompareSafetyComputationsTest DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ,
1,Wed Sep 09 19:47:38 PDT 2020,0,0,UtilityClassSuite, , ,BasicMainTest CompareSafetyComputationsTest+ DerivedSafetyTest+ DerivingMainTest GenerateSafeDistancesAndDurationsTest+ GivenSafetyTest+ InferringMainTest InterpolatedSafetyTest+ InterpolatingMainTest IsInferredSafeTest+ IsInterpolatedOneParameterSafetyTest+ IsInterpolatedTwoParameterSafetyTest+ PrintGeneratedCombinationDerivedSafetyTest+ PrintGeneratedCombinationInferredSafetyTest+ PrintGivenAndGeneratedCombinationDerivedTest+ PrintSafeDistancesAndDurationsTest+ SafeSocializationtxtProvided+ SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided+ ,SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided ,
2,Wed Sep 09 19:47:40 PDT 2020,0,0,StyleSuite, , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings+ SocialDistanceUtilityProvided ,SocialDistanceUtilityTesterMainProvided ,
3,Wed Sep 09 19:47:51 PDT 2020,0,0,UtilityClassSuite, , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided ,SocialDistanceUtilityTesterMainProvided ,
4,Thu Sep 10 10:38:42 PDT 2020,0,0,UtilityClassSuite, , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided ,SocialDistanceUtilityTesterMainProvided ,
5,Thu Sep 10 12:24:35 PDT 2020,0,0,UtilityClassSuite, , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided ,SocialDistanceUtilityTesterMainProvided ,
6,Thu Sep 10 17:39:32 PDT 2020,4,4,UtilityClassSuite,SocialDistanceClassRegistryProvided+ , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided ,SocialDistanceUtilityTesterMainProvided ,
7,Thu Sep 10 17:39:36 PDT 2020,4,0,RequiredClassesSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided+ , ,
8,Thu Sep 10 17:41:52 PDT 2020,4,0,UtilityClassSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
9,Thu Sep 10 17:41:54 PDT 2020,4,0,RequiredClassesSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
