Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Sep 09 16:43:09 PDT 2020,BasicMainModel.java,1599694989813,4635,4635,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Sep 09 16:43:09 PDT 2020,BasicMainModel.java, 1599694989813
2,,Wed Sep 09 16:43:14 PDT 2020,BasicMainModel.java,1599694994499,4669,4669,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
3,,Wed Sep 09 16:43:19 PDT 2020,BasicMainModel.java,1599694999336,1692,1692,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
4,,Wed Sep 09 16:43:21 PDT 2020,BasicMainModel.java,1599695001108,3017,3017,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,[]
5,,Wed Sep 09 16:43:24 PDT 2020,BasicMainModel.java,1599695004412,8531,8531,(I)5(R)3(I)4(R)4(I)3(R)3(I)3,0.6,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,1.25,1.875,0.0,[]
6,,Wed Sep 09 16:43:33 PDT 2020,BasicMainModel.java,1599695013097,4392,4392,(I)1(R)4(I)20,0.84,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1.0,5.25,0.0,[]
7,,Wed Sep 09 16:43:37 PDT 2020,BasicMainModel.java,1599695017595,1423,1423,(I)4(R)13(F)1(I)3(R)4,0.28,0.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,17.0,7.0,0.0,[]
8,,Wed Sep 09 16:43:39 PDT 2020,BasicMainModelFactory.java,1599695019146,23556,0,(R)9(F)1(I)11,0.5238095238095238,0.0,0.0,4.761904761904762,0.0,0.0,0.9130434782608695,0.0,0.0,0.043478260869565216,0.0,0.391304347826087,0.4782608695652174,0.0,[]
9,,Wed Sep 09 16:44:02 PDT 2020,BasicMainModelFactory.java,1599695042825,1001,1001,(I)2(R)7(I)10(R)5,0.5,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,[]
10,,Wed Sep 09 16:44:03 PDT 2020,BasicMainModelFactory.java,1599695043966,10815,0,(R)2(I)23,0.92,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.2,2.3,0.0,[]
11,,Wed Sep 09 16:44:14 PDT 2020,BasicMainModelFactory.java,1599695054950,-5036,-5036,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Wed Sep 09 16:44:15 PDT 2020,BasicMainModelFactory.java,1599695055708,3471,3471,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,[]
13,,Wed Sep 09 16:44:19 PDT 2020,BasicMainModelFactory.java,1599695059180,4734,4734,(I)22,1.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,[]
14,,Wed Sep 09 16:44:23 PDT 2020,BasicMainModelFactory.java,1599695063916,2417,2417,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
15,,Wed Sep 09 16:44:26 PDT 2020,BasicMainModelFactory.java,1599695066826,1850,1850,(I)24(R)1,0.96,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,[]
16,,Wed Sep 09 16:44:28 PDT 2020,BasicMainModel.java,1599695068678,3388,3388,(R)1(I)16(R)1(I)3,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.6666666666666666,6.333333333333333,0.0,[]
17,,Wed Sep 09 16:44:32 PDT 2020,BasicMainModelFactory.java,1599695072187,10161,0,(I)13(R)1(I)10,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.1,2.3,0.0,[]
18,,Wed Sep 09 16:44:42 PDT 2020,BasicMainModelFactory.java,1599695082353,12606,0,(I)5(R)2(I)1(R)2(I)15,0.84,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,1.75,0.0,[]
19,,Wed Sep 09 16:44:55 PDT 2020,BasicMainModelFactory.java,1599695095049,141,141,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
