@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute distance numeric
@attribute duration numeric
@attribute exhalation numeric
@attribute safe {true, false}

@data
13,30,30,true
6,30,10,true
27,30,50,true
13,15,50,true
13,120,10,true
27,120,30,true
6,15,30,true
79,306,95,false
75,60,85,false
14,52,74,false
38,269,149,false
66,257,129,false
45,27,44,true
30,326,115,false
22,31,13,false
33,77,73,false
44,79,112,false
12,315,48,false
80,181,57,false
57,294,34,false
74,354,82,false
42,314,111,false
4,96,137,false
16,0,85,false
60,140,41,false
14,88,36,false
71,48,4,false
0,285,133,false
0,245,133,false
23,205,49,false
32,235,9,false
65,89,8,false
62,322,26,false
56,303,137,false
58,75,98,false
2,212,72,false
19,62,3,true
59,84,126,false
78,298,7,false
26,0,3,true
29,343,107,false
70,25,92,false
37,294,139,false
35,91,12,true
45,127,126,false
45,300,136,false
2,34,148,false
69,84,123,false
62,65,98,false
27,109,42,false
78,71,148,false
65,21,89,false
2,116,41,true
14,16,38,true
18,21,48,true
14,24,46,true
3,119,44,true
17,122,25,true
9,89,6,true
29,84,21,false
12,115,49,true
27,112,40,true
7,24,37,true
